host,port,protocol,cipher,critical_issues,warning_issues,info_issues,cert_not_after
example.com,443,TLSv1.3,TLS_AES_256_GCM_SHA384,0,0,0,2026-01-15T23:59:59+00:00
google.com,443,TLSv1.3,TLS_AES_256_GCM_SHA384,0,0,0,2026-02-16T08:38:59+00:00
cloudflare.com,443,TLSv1.3,TLS_AES_256_GCM_SHA384,0,0,0,2026-02-12T21:28:32+00:00
openai.com,443,TLSv1.3,TLS_AES_256_GCM_SHA384,0,0,0,2026-02-23T03:42:41+00:00
hust.edu.vn,443,TLSv1.3,TLS_CHACHA20_POLY1305_SHA256,0,0,0,2026-06-22T02:56:00+00:00
exam.hustack.soict.ai,443,TLSv1.2,ECDHE-ECDSA-AES256-GCM-SHA384,0,1,1,2026-01-10T11:22:07+00:00
expired.badssl.com,443,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,1,0,1,2015-04-12T23:59:59+00:00
wrong.host.badssl.com,443,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,0,0,1,2026-02-16T20:02:46+00:00
sha1-intermediate.badssl.com,443,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,1,0,1,2020-05-30T23:59:59+00:00
rc4.badssl.com,443,,,1,2,0,
dh1024.badssl.com,443,,,1,2,0,
tls-v1-0.badssl.com,443,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,0,0,1,2026-02-16T20:02:46+00:00
tls-v1-1.badssl.com,443,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,0,0,1,2026-02-16T20:02:46+00:00
incomplete-chain.badssl.com,443,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,0,0,1,2026-02-16T20:02:46+00:00
http.badssl.com,443,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,0,0,1,2026-02-16T20:02:46+00:00
upgrade.badssl.com,443,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,0,0,1,2026-02-16T20:02:46+00:00
smtp.gmail.com:587,587,TLSv1.3,TLS_AES_256_GCM_SHA384,0,0,0,2026-01-19T08:35:00+00:00
outlook.office365.com:587,587,TLSv1.3,TLS_AES_256_GCM_SHA384,0,0,0,2026-11-09T23:59:59+00:00
smtp.mail.yahoo.com:587,587,TLSv1.3,TLS_AES_128_GCM_SHA256,0,0,0,2026-04-08T23:59:59+00:00
imap.gmail.com:993,993,TLSv1.3,TLS_AES_256_GCM_SHA384,0,0,0,2026-01-19T08:34:59+00:00
pop.mail.yahoo.com:995,995,TLSv1.3,TLS_AES_256_GCM_SHA384,0,0,0,2026-04-08T23:59:59+00:00
neverssl.com,443,TLSv1.3,TLS_AES_128_GCM_SHA256,0,0,0,2026-08-07T23:59:59+00:00
